
Cores Qtd: 4	Tamanho do Problema: 1024000000

	Tempo: 1.98e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 389 	Intervalo: 0.51 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 9 	Intervalo: 22.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 948 	Intervalo: 0.21 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.99e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 915 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 619 	Intervalo: 0.32 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 766 	Intervalo: 0.26 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 8	Tamanho do Problema: 2048000000

	Tempo: 3.98e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 863 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 904 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 727 	Intervalo: 0.28 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 958 	Intervalo: 0.21 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 892 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 479 	Intervalo: 0.42 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 144 	Intervalo: 1.39 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 530 	Intervalo: 0.38 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 409 	Intervalo: 0.49 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 522 	Intervalo: 0.38 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 8	Tamanho do Problema: 3072000000

	Tempo: 5.92e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 466 	Intervalo: 0.43 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.93e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 932 	Intervalo: 0.21 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 6.01e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 638 	Intervalo: 0.31 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 433 	Intervalo: 0.46 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.93e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 975 	Intervalo: 0.21 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.91e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 205 	Intervalo: 0.98 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.92e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 873 	Intervalo: 0.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.91e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 758 	Intervalo: 0.26 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.91e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 115 	Intervalo: 1.74 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 5.90e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 567 	Intervalo: 0.35 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 8	Tamanho do Problema: 4096000000

	Tempo: 7.88e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 163 	Intervalo: 1.23 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.88e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 678 	Intervalo: 0.29 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 8.15e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 88 	Intervalo: 2.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.91e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 465 	Intervalo: 0.43 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.90e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 262 	Intervalo: 0.76 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 8.05e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 634 	Intervalo: 0.32 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.90e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 840 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.90e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 790 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 8.04e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 636 	Intervalo: 0.31 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 4096000000 	Numero de Bins: 596 	Intervalo: 0.34 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 16	Tamanho do Problema: 1024000000

	Tempo: 1.02e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 111 	Intervalo: 1.80 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
